step,capacity,responseTime,misses,hits,request
0,20,0.0,0,0,0
1,20,42.8,21,4,25
2,44,41.4,20,7,27
3,63,28.8,13,14,27
4,70,23.4,10,17,27
5,74,18.2,7,21,28
6,74,18.0,7,20,27
7,75,21.6,9,18,27
8,80,18.2,7,21,28
9,81,14.4,5,22,27
10,78,21.6,9,18,27
11,83,12.2,4,21,25
12,77,16.6,6,23,29
13,77,14.8,5,24,29
14,74,16.6,6,23,29
15,73,12.4,4,22,26
16,67,20.2,8,21,29
17,70,12.4,4,22,26
18,63,23.0,10,15,25
19,68,21.4,9,17,26
20,70,17.8,7,19,26
21,68,19.8,8,19,27
22,69,17.6,7,18,25
23,67,16.6,6,23,29
24,65,23.4,10,17,27
25,70,26.6,12,13,25
26,77,14.4,5,22,27
27,71,14.2,5,21,26
28,67,16.2,6,21,27
29,65,32.8,15,14,29
30,79,21.2,9,16,25
31,79,19.4,8,17,25
32,79,16.2,6,21,27
33,76,18.4,7,22,29
34,76,14.8,5,24,29
35,71,15.8,6,19,25
36,68,16.2,6,21,27
37,65,12.6,4,23,27
38,58,29.2,13,16,29
39,69,21.8,9,19,28
40,69,21.4,9,17,26
41,70,23.0,10,15,25
42,73,21.4,9,17,26
43,74,16.0,6,20,26
44,70,18.2,7,21,28
45,69,21.6,9,18,27
46,71,23.8,10,19,29
47,75,23.2,10,16,26
48,78,23.6,10,18,28
49,82,12.6,4,23,27
50,74,21.4,9,17,26
51,77,16.2,6,21,27
52,73,21.2,9,16,25
53,75,16.2,6,21,27
54,71,14.4,5,22,27
55,66,29.0,13,15,28
56,76,18.0,7,20,27
57,72,20.0,8,20,28
58,73,17.6,7,18,25
59,71,17.6,7,18,25
60,69,29.0,13,15,28
61,79,21.6,9,18,27
62,79,12.4,4,22,26
63,71,14.0,5,20,25
64,66,12.2,4,21,25
65,59,29.0,13,15,28
66,69,19.6,8,18,26
67,67,19.4,8,17,25
68,66,21.4,9,17,26
69,67,16.2,6,21,27
